Time,Va_B5,Vb_B5,Vc_B5,Ia_B5,Ib_B5,Ic_B5
0,-0.109137957110703,-0.781781917808023,0.890919874918726,-0.111083265864726,-0.411301449405103,0.522384715269831
0.0005,0.0430991171808523,-0.862385358690648,0.819286241509796,-0.0254289208302879,-0.463325465266146,0.488754386096435
0.001,0.194511963590494,-0.921894181698873,0.727382218108381,0.0609209819918669,-0.503994772647247,0.44307379065538
0.0015,0.341095380799948,-0.958666232072867,0.617570851272923,0.14574441753114,-0.532250141529277,0.386505723998136
0.002,0.479146723766003,-0.97177048531374,0.492623761547746,0.226998632572724,-0.547421009921297,0.32042237734857
0.0025,0.605491299924937,-0.961010696534275,0.355519396609347,0.302714626989689,-0.549140875757462,0.246426248767766
0.003,0.71698917771317,-0.926613447270674,0.209624269557511,0.37096733017074,-0.537329407506538,0.16636207733579
0.0035,0.81076886172607,-0.869359170809208,0.0585903090831391,0.430055967788863,-0.512272326733701,0.0822163589448297
0.004,0.884564233015444,-0.790693518391489,-0.0938707146239585,0.478570948958826,-0.474612685985325,-0.00395826297350754
0.0045,0.936598346888322,-0.692573214548601,-0.244025132339729,0.515327313237288,-0.425277369372744,-0.0900499438645473
0.005,0.965600769309581,-0.57741328258202,-0.388187486727571,0.539382025994821,-0.365459573892993,-0.173922452101828
0.0055,0.970830029484391,-0.448031830357466,-0.522798199126935,0.550133856153132,-0.29663220495547,-0.253501651197657
0.006,0.952089662210109,-0.307585605517171,-0.644504056692946,0.547354461973602,-0.220510280459724,-0.326844181513869
0.0065,0.909922438694343,-0.159582308742087,-0.750340129952266,0.531118125644166,-0.138966745391468,-0.392151380252685
0.007,0.845432999401883,-0.00768952101886321,-0.837743478383032,0.501785846530569,-0.0539886022902768,-0.447797244240275
0.0075,0.760063531530571,0.144433951432216,-0.9044974829628,0.460081657207492,0.0323261216948315,-0.492407778902301
0.008,0.655917798502147,0.293025209165538,-0.948943007667699,0.407071544305839,0.117831914278516,-0.524903458584327
0.0085,0.535717422877387,0.434345200856047,-0.970062623733449,0.344048045438763,0.200434454925495,-0.544482500364225
0.009,0.402335864243263,0.564975134722475,-0.967310998965754,0.27252880264979,0.278116097764639,-0.550644900414391
